sub_session_suffix,task,start_bjt,minutes,rounds,tools,status,input,cache_hit
3573661c,S01-A-R 幂等补修,09-11 22:05:15,21.57,32,31,completed,1.958M,92.68%
e6f59aec,F01-R 水合补修,09-11 22:05:16,23.18,42,41,completed,3.105M,90.43%
076593c8,审批三态映射修复,09-11 22:31:56,16.29,45,66,completed,3.217M,95.88%
2815dc57,审批放行来源复核,09-11 22:36:38,20.81,23,51,completed,1.709M,86.51%
3fa5877a,F01 归属/五探针复核,09-12 00:19:18,6.41,40,60,failed,3.554M,97.12%
dcb8688a,S01-B 首片实现,09-12 00:19:35,7.37,47,82,completed,4.615M,97.35%
70038952,S01-B 只读审计,09-12 00:28:40,3.89,25,41,completed,1.587M,95.42%
98656c52,S01-B 独立子集验证,09-12 00:33:00,8.72,35,34,completed,2.574M,97.29%
ea61909b,S01-B Runtime 接线,09-12 00:42:04,8.02,46,66,completed,3.761M,96.08%
94def1e8,covering-index 脏文件归属侦察,09-12 00:50:27,6.39,37,53,failed,2.988M,97.07%
f878a9a4,C01-A Composition 实现,09-12 05:54:13,7.93,60,86,budget_exhausted,6.133M,97.85%
9a0bbd24,审批批准闭环只读验证,09-12 05:55:14,5.52,41,86,completed,3.388M,96.50%
